jp.msn.com, 13.88.15.24
odnoklassniki.ru, 5.61.23.11
pconline.com.cn, 219.136.244.85
qiyi.com, 101.227.188.176
hotfile.com, 18.207.9.28
youdao.com, 61.135.218.30
ebay.de, 66.135.196.249
kugou.com, 183.131.48.92
walmart.com, 161.170.232.170
hp.com, 15.72.164.74
partypoker.com, 195.72.134.116
zynga.com, 52.84.235.146
mywebsearch.com, 74.113.237.222
tianya.cn, 124.225.65.154
cnn.com, 151.101.1.67
imageshack.us, 208.94.3.19
nifty.com, 222.158.213.148
softonic.com, 35.244.172.133
alipay.com, 110.75.129.5
paipai.com, 106.39.169.133
seesaa.net, 59.106.98.142
ehow.com, 172.226.187.184
mediafire.com, 104.16.202.237
photobucket.com, 209.17.68.100
2345.com, 42.62.30.180
7k7k.com, 106.75.22.155
daum.net, 203.133.167.81
rapidshare.com, 0.0.0.0
answers.com, 151.101.192.203
vkontakte.ru, 87.240.190.67
blogger.com, 172.217.1.201
livedoor.jp, 203.104.153.16
renren.com, 120.133.2.243
megaupload.com
alibaba.com, 198.11.132.198
soku.com, 106.11.47.19
weather.com, 23.1.133.227
craigslist.org, 208.82.237.1
360.cn, 36.110.213.10
hotmail.com, 204.79.197.212
aol.com, 106.10.218.150
imdb.com, 52.94.228.167
dailymotion.com, 195.8.215.136
linkedin.com, 108.174.10.10
amazon.co.jp, 52.119.168.48
4shared.com, 204.155.149.41
flickr.com, 54.230.33.85
naver.com, 210.89.160.88
ameblo.jp, 151.101.65.83
skype.com, 40.115.34.155
orkut.com, 216.239.34.21
4399.com, 118.184.184.70
go.com, 23.236.60.174
cnet.com, 35.190.79.82
mail.ru, 94.100.180.200
myspace.com, 63.135.90.70
yandex.ru, 77.88.55.88
bbc.co.uk, 151.101.64.81
goo.ne.jp, 153.254.147.65
ifeng.com, 123.103.122.24
orkut.com.br, 132.148.40.250
about.com, 151.101.194.114
rakuten.co.jp, 133.237.16.234
ku6.com, 117.50.1.222
tmall.com, 140.205.130.99
sogou.com, 118.191.216.57
paypal.com, 64.4.250.37
fc2.com, 35.155.180.173
56.com, 221.5.34.99
xunlei.com, 39.104.39.191
pps.tv, 101.227.188.170
ebay.com, 66.135.196.249
windows.com, 104.215.148.63
hao123.com, 39.156.68.154
apple.com, 17.142.160.59
sohu.com, 123.125.116.28
yahoo.co.jp, 183.79.135.206
tudou.com, 106.11.47.20
wordpress.com, 192.0.78.17
amazon.com, 205.251.242.103
wmfo.org, 23.92.21.128
andysayler.com, 138.197.228.157
sdjjdsaf.com
youku.com, 106.11.47.20
mozilla.com, 63.245.208.194
twitter.com, 104.244.42.129
adobe.com, 193.104.215.58
ask.com, 151.101.70.114
163.com, 123.58.180.7
soso.com, 118.191.216.42
sina.com.cn, 123.126.55.41
bing.com, 13.107.21.200
taobao.com, 140.205.94.189
qq.com, 111.161.64.48
microsoft.com, 13.77.161.179
blogspot.com, 172.217.1.201
baidu.com, 220.181.38.148
msn.com, 13.82.28.61
wikipedia.org, 208.80.153.224
live.com, 204.79.197.212
yahoo.com, 98.137.246.7
youtube.com, 172.217.11.238
facebook.com, 157.240.28.35
